,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items
42,236,Rain Boy Club (RBC),166.96,-71.84%,---,0.09,2.1K,4.0K
61,237,Lives of Asuna,165.85,-57.34%,-36.26%,0.27,5.9K,10.0K
64,238,Nifty League DEGENs,165.73,-85.20%,+106.70%,0.69,3.3K,9.9K
62,239,Creepz Reptile Armoury,162.28,-10.63%,-9.64%,0.24,293,20.0K
63,240,The Sandbox ASSETS,161.28,-33.68%,+12.27%,< 0.01,27.8K,2.1K
54,241,EtherOrcs Genesis,161.25,+6.82%,+52.99%,2.69,71,5.0K
60,242,Meta Angels NFT,159.31,+55.65%,-82.25%,0.31,4.4K,10.0K
58,243,PartyBear,159.26,+13.14%,-15.13%,1.1,4.1K,9.7K
59,244,Cool Monkes Genesis,158.98,-71.09%,-14.29%,0.27,841,10.0K
55,245,NeckVille,158.82,+16.85%,+626.19%,0.05,2.7K,5.6K
57,246,Angry Polar Bears,"365,440.43",-56.83%,+357.35%,84,2.0K,9.0K
56,247,SuperFarm Genesis Series,158.28,+357.68%,-67.92%,0.06,4.5K,7.2K
1,248,The BapesClan Genesis,158.25,-46.09%,---,0.31,1.2K,1.7K
53,249,Forgotten Runes Wizards Cult,156.15,+187.79%,-18.42%,1.95,2.8K,9.4K
51,250,MekaVerse,155.38,-16.73%,-9.77%,0.87,5.0K,8.9K
52,251,Voyagers: Unknown | 304-X,154.04,---,---,0.27,724,1.2K
23,252,OCM Dessert,153.62,+233.19%,-57.35%,1.15,2.8K,3
50,253,Loot (for Adventurers),150.34,+22.81%,+38.21%,1.99,2.6K,7.8K
48,254,LIZZIE BENNETT,149.89,-76.81%,---,0.08,237,333
25,255,DarkEchelon,148.47,-84.09%,+122.22%,5.12,474,520
32,256,hauspets,148.41,+66.22%,---,0.14,4.0K,7.2K
22,257,0xApes Trilogy,147.93,+22.27%,-25.33%,0.21,3.9K,10.0K
44,258,THE 108 CIRCLE,146.44,-49.79%,+86.17%,0.61,456,3
45,259,Killer GF,146.41,+272.10%,-37.64%,0.39,4.2K,7.8K
16,260,ALPACADABRAZ,146.32,-23.59%,-26.81%,0.54,4.4K,9.7K
19,261,Thingdoms,145.88,-48.27%,-21.02%,0.34,4.6K,10.0K
