,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items,uuid
14,965,Elite Ape Entry Coins,12.44,-47.06%,-33.73%,0.09,8.8K,1,10536317-e305-4421-ad28-3c2f0fb5945d
37,965,Elite Ape Entry Coins,12.44,-47.06%,-33.73%,0.09,8.8K,1,52055bd3-dcdd-453a-9768-9934a2b5293e
12,966,Chains NFT,12.42,-61.79%,-47.05%,0.07,3.3K,10.0K,3f2d115c-7494-4440-8d34-b7ed3df1e18c
35,966,Chains NFT,12.42,-61.79%,-47.05%,0.07,3.3K,10.0K,ce6746d7-1b46-460e-90c9-c7a1447dd650
13,967,Monfters Club,12.4,-31.54%,-4.65%,0.06,4.1K,8.0K,0a55e374-c2a0-4485-9c3a-c93a0967c0a9
36,967,Monfters Club,12.4,-31.54%,-4.65%,0.06,4.1K,8.0K,dfc51774-dd18-4e97-9fc4-17f146825240
9,968,Star Wolves,12.28,-100.00%,+39.88%,4.9,90,90,72221b6e-f965-44fe-803f-991218b3456c
32,968,Star Wolves,12.28,-100.00%,+39.88%,4.9,90,90,2227ddc8-0247-49df-a3e7-0e6c2b20147d
11,969,Non-Fungible Heroes,12.26,+9.23%,+163.45%,0.1,3.4K,8.9K,0e1b4656-d429-4ca7-adf7-7ec4655f0b46
34,969,Non-Fungible Heroes,12.26,+9.23%,+163.45%,0.1,3.4K,8.9K,fcdea897-f242-44b6-ad27-165fa66b5e43
33,970,Dream Seeds NFT,12.26,-84.99%,+1957.53%,0.03,329,1.0K,a9e405d6-1ca3-4dc8-b9aa-096f18b87686
10,970,Dream Seeds NFT,12.26,-84.99%,+1957.53%,0.03,329,1.0K,c4f718ce-078e-43fb-8419-0af1462b3404
28,971,Reactor Motors,12.17,+291.74%,+27.65%,0.04,4.8K,8.9K,edb66e03-c5ea-4e7e-afdd-268054a9d042
3,971,Reactor Motors,12.17,+291.74%,+27.65%,0.04,4.8K,8.9K,9548701e-7f0a-4558-bd39-1b571e64569e
31,972,Rivermen,12.13,---,+44.74%,0.09,1.6K,10.0K,8bbbcf22-c0be-41a6-ad84-5d1a20df002f
8,972,Rivermen,12.13,---,+44.74%,0.09,1.6K,10.0K,8b7fce44-cb6c-4358-8c40-c68b381d9de9
29,973,Foundation (FND),12.12,---,+235.04%,0.05,17.5K,118.0K,8fcee1a5-9529-44ed-91b2-8073aff99331
6,973,Foundation (FND),12.12,---,+235.04%,0.05,17.5K,118.0K,09f3c815-00e1-4010-8573-0b04688f8c45
30,974,Galaxy-Warriors,12.11,-42.95%,-20.80%,0.06,4.1K,10.0K,aa35c4e9-2486-4620-9305-addbb1b4b595
7,974,Galaxy-Warriors,12.11,-42.95%,-20.80%,0.06,4.1K,10.0K,d19da587-6015-46e6-80a3-22deaa6c9dba
2,975,Fomoverse,12.09,-100.00%,---,3.98,849,1.2K,2b5a172a-0a5b-48a8-a6ac-f927bd705d33
4,975,Fomoverse,12.09,-100.00%,---,3.98,849,1.2K,97239f77-1948-40a4-bedf-976d53069a54
5,976,Bonsai by ZENFT,12.06,-1.89%,+171.47%,0.18,2.8K,8.9K,75450f34-77ad-4fb7-ad55-4f3294719fa2
27,976,Bonsai by ZENFT,12.06,-1.89%,+171.47%,0.18,2.8K,8.9K,2dd6ebc4-dc16-4c9b-b140-94e555820001
25,977,GalacticApes,12.06,+763.04%,-2.09%,0.1,3.7K,10.0K,b660878b-a139-4b18-95e1-7f528a49a5f3
26,978,Puellae,12.05,-100.00%,---,0.08,73,100,7f38b16c-9ec3-4c1e-9fb3-bc854f46d175
23,979,Phto. All Access Pass,12.01,---,-77.78%,0.27,309,1,8d9f81cc-c698-4444-867d-7aa1acf3a4fb
24,980,Sipherian Flash,12.01,-54.28%,-4.54%,0.12,3.8K,10.0K,911a98dd-8794-408a-95f3-acffd44cf7f4
3,981,OneOf.com,12,-100.00%,---,---,1,2,3542c0e2-c35d-4ac4-95cd-2ada9c2702f2
22,982,Monster Icons,11.99,-100.00%,+201.26%,6.97,39,44,545a4482-b2ed-496b-bf00-ef2c9981f52c
20,983,Salty Pirate Crew,11.93,+8.08%,-34.79%,0.18,774,3.0K,f591ba01-4291-43bb-9ef4-b321237038f9
21,984,Daitos By Bushidos,11.92,-57.32%,+277.63%,0.08,650,3.8K,6bd2061b-1222-492b-875c-e4b1cb00b36e
16,985,The Superlative Secret Society,11.91,-52.60%,-55.29%,0.1,6.0K,11.1K,bbe6a2a3-7a1f-425f-8c86-11ec97659460
19,986,Crypto Cannabis Club NFTokins,11.89,+363.30%,+5.37%,0.04,3.7K,13.0K,d1475cad-6a13-4cf1-b130-a2864d6480c0
17,987,Nafty Angels,11.87,+196.26%,+68.78%,0.15,482,1.7K,65f7757d-e71c-4e49-a471-dff1e8747ffe
18,988,MartiansVSRednecks,11.86,-81.00%,---,0.12,501,1.8K,4d0dd80d-d390-48fc-88fe-43f8a4efdd93
4,989,Purrnelopes Country Club,11.8,+7.88%,-83.86%,0.25,3.1K,10.0K,2ba99322-986f-4138-8074-424afb78cdb1
15,990,Wizards & Dragons Game (WnD),11.76,+93.56%,+14.15%,0.02,3.5K,46.2K,40be3367-f172-41c5-b046-f34d5f3e8930
13,991,Nervous Gorilla Face Team NGFT,11.72,---,---,0.04,92,286,55dbeb0e-9048-41d8-bef0-08a3c755291b
14,992,ElectroPixelKongz,"26,785",+51.28%,-70.97%,98,1.8K,9.9K,96b7c9fd-fff5-470d-a454-91df4381e9f9
5,993,TIMEPieces Slices of TIME (Artists),11.62,-65.05%,-70.78%,0.04,2.6K,4.9K,d6b30786-eb75-4931-91ec-aea2f2b8c77d
12,994,THE PATHFINDERS,11.6,-24.69%,-81.05%,0.11,1.1K,2.5K,33d9577a-0024-4572-bcca-99a0a56bd3a6
10,995,GANGSTER ALL STAR,11.6,---,-34.28%,---,47,64,8c7a0e3b-144c-4a20-9e5f-76d495a00397
11,996,Rollbots,11.58,+533.00%,+330.80%,1.95,40,10.0K,5cc3d006-97aa-458c-a258-2b73fa5a94a0
6,997,EllioTrades NFT Collection,11.58,-56.24%,-67.76%,1.7,797,1.9K,ed63cd89-63b2-48a8-a3f4-aa5fccc17545
9,998,Chimera by mpkoz,11.56,---,-34.25%,1.3,650,987,3d05f06d-dfb9-414f-ac68-6cb752471945
7,999,90s Babes NFT | BABE,11.55,-58.67%,---,0.07,1.1K,2.5K,bfe2a46f-a1e4-4fd9-8c37-463aa795af42
8,1000,Edifice by Ben Kovach,11.55,-100.00%,+10.10%,1.55,600,976,dd8d99d1-25e9-451d-be08-de5872a2f337
